col,col,col,código_material,preço_real,descrição,qtde_min,bateria_recomendada,kit,tensão_carregador,tensão_nominal_bateria_v,sabres_cm,corrente,velocidade_da_corrente_m_s,peso_kg,s,col,col,col,col
,,,SA02-011-7100,1649,SHA 56 Trituradora de aspiração a bateria,1,AK  20,Não acompanha bateria ou carregador,510,40,"3,2 (soprador) 4,2 (aspirador)",,25,,,,,,
BGA 30,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Vazão do ar [m³/h],Velocidade de ar [m/s],Autonomia da bateria (min),"Peso 
[kg]",,,,,
,,,BA08-011-5900,699,BGA 30.0 Soprador a bateria,1,AS 2,Não acompanha bateria ou carregador,-,10.8,430,43,8-25,1.5,,,,,
,,,BA08-011-5919,1099,"BGA 30.0 SET Soprador a bateria, 127V",1,,"2 Baterias AS 2
Carregador AL 1 - 127V",127V,,,,,,,,,,
,,,BA08-011-5920,1099,"BGA 30.0 SET Soprador a bateria, 220V",1,," 2 Baterias AS 2
Carregador AL 1 - 220V",220V,,,,,,,,,,
BGA 45,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Velocidade do ar [m/s],"Vazão de ar
[m³/h]",Autonomia da bateria [min],"Peso 
[kg]",,,,,
,,,4513-011-5907,649,BGA 45 Soprador a bateria,1,Integrada,Carregador,bivolt,18,38,400,10,2,,,,,
BGA 50,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Volume de ar [m³/h],Velocidade de ar [m/s],Autonomia da bateria (min),"Peso 
[kg]",,,,,
,,,BA05-011-5900,899,BGA 50.0 Soprador a bateria,1,AK 20,Não acompanha bateria ou carregador,-,36,770,46,20,2.2,,,,,
,,,BA05-011-5915,1899,"BGA 50.0 SET Soprador a bateria, 220V",1,,"Bateria AK 20
Carregador AL 101 - 220V",220V,,,,,,,,,,
,,,BA05-011-5916,1899,"BGA 50.0 SET Soprador a bateria, 127V",1,,"Bateria AK 20
Carregador AL 101 - 127V",110V,,,,,,,,,,
BGA 86,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),"Velocidade do ar
[m/s]","Vazão de ar
[m³/h]",Autonomia da bateria [min],"Peso 
[kg]",,,,,
,,,BA02-011-5904,1149,BGA 86 Soprador a bateria,1,AP 300S,Não acompanha bateria ou carregador,-,36,58,780,21,4.6,,,,,
BGA 300,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Velocidade do ar [m/s],"Volume de ar
[m³/h]",Autonomia da bateria [min],"Peso 
[kg]",,,,,
,,,BA03-011-5910,4299,BGA 300.1 Soprador a bateria,1,AP,não acompanha as baterias AP.,-,-,86,970,58 usando duas baterias AP 500,7.4,,,,,
,,,6909-400-4300,2289,Adaptador para compartimento duplo da ba,1,,não acompanha as baterias AP.,-,-,-,-,-,,,,,,
Acessórios BGA 300,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,,,,,,,,,,,,,,
,,,0000-790-7700,35.89,Cinto peitoral,,,,,,,,,,,,,,
,,,4282-790-1700,233.88,Tubo do punho,,,,,,,,,,,,,,
,,,4283-710-9100,206.94,Cinturão,,,,,,,,,,,,,,
,,,4244-708-6302,57.1,Bico redondo curvado,,,,,,,,,,,,,,
,,,4282-708-6304,79.96,Bico chato curvado,,,,,,,,,,,,,,
,RMA 235.1,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Altura de corte (mm),Largura de corte (cm),Capacidade do coletor (litros),"Peso 
[kg]",,,,,
,,,6311-011-1417,1569,RMA 235.1 (RoW) Cortador de grama a bateria,1,AK 20,Não acompanha bateria ou carregador,-,36,25 - 65,33,30,14,,,,,
RMA 460,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Largura de corte (cm),Altura de corte (mm),Capacidade do coletor (litros),"Peso 
[kg]",,,,,
,,,6368-011-1402,2959,RMA 460 Cortador de grama a bateria,1,AK 30,Não acompanha bateria ou carregador,-,36,46,35-90,60,25,,,,,
RMA 460 V - tracionado,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Largura de corte (cm),Altura de corte (mm),Capacidade do coletor (litros),"Peso 
[kg]",,,,,
,,,6368-011-1412,3669,RMA 460.0 V Cortador de grama a bateria,1,AK 30,Não acompanha bateria ou carregador,-,36,46,25-100,60,28,,,,,
RMA 353,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Largura de corte (cm),Altura de corte (mm),Capacidade do coletor (litros),"Peso 
[kg]",S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,WA32-011-1410,3159,RMA 353.0 Cortador de grama a bateria,1,AP 300 S,Não acompanha bateria ou carregador,-,36,51,25-100,60,27,1,0,3.25,84331100,886661737352
RMA 353 V,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Largura de corte (cm),Altura de corte (mm),Capacidade do coletor (litros),"Peso 
[kg]",S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,WA32-011-1430,4189,RMA 353.0 V Cortador de grama a bateria,1,AP 300 S,Não acompanha bateria ou carregador,-,36,51,25-100,60,30,1,0,3.25,84331100,886661738922
TSA 230.1,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Motor,Potência elétrica [kW],Potência mecânica [kW],Tensão da bateria [V],Autonomia da bateria [min],"Peso 
[kg]",S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,4864-011-6620,4499,TSA 230.1 Cortador a disco a bateria,1,AP 300S,Não acompanha bateria ou carregador,EC,2.1,1.6,3.9,20,3.9,1,10,5.2,84672999,886661733552
HTA 50,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Alcance haste [cm],Sabres (cm),Corrente,"Peso 
[kg]",S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,LA02-011-6403,2199,"HTA 50.0 1/4""P Moto-poda a bateria",1,AK 20,Não acompanha bateria ou carregador,-,36,280,25,"PM3 -1/4""",3.6,1,10,5.2,84672200,886661624430
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Modelo,,,,,,,,S,T,IPI,NCM - Classif. Fiscal,Código Barras 
,,,LA02-820-5000,273.96,"Extensão 0,5 m",1,HTA50,,,,,,,,1,10,5.2,84679100,886661879632
HTA 86,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Alcance haste telescópica [cm],Sabres (cm),Corrente,"Peso 
[kg]",S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,LA03-200-0010,3699,"HTA 86 Moto-poda a bateria,30cm/12""",1,AP 300S,Não acompanha bateria ou carregador,-,36,270 - 390,30,"1,1 PM3 - 1/4""",4.5,1,10,5.2,84672200,886661618941
HTA 135,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Alcance haste telescópica [cm],Sabres (cm),Corrente,"Peso 
[kg]",S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,LA01-200-0004,4589,"HTA 135 Moto-poda a bateria,30cm/12""",1,AP 300S,Não acompanha bateria ou carregador,-,36,285 - 405,30,"1,1 PMM3 - 3/8""",6.8,1,10,5.2,84672200,886661563975
SPA 65,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Comprimento (mm),Ferramenta para colheita de oliva,,"Peso 
[kg]",S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,4855-011-0700,3879,SPA 65 Colhedor especial a bateria,1,AP 300S,Não acompanha bateria ou carregador,-,36,2256,Implemento SP10,,7.5,1,10,5.2,84672999,795711912307
REA 60 PLUS,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Vazão Máxima [l/h],Kit,Pressão máxima [bar],Pressão de trabalho [bar],Bateria recomendada,Tipo de motor,Autonomia da bateria [min],,S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,RA01-011-7605,1899,REA 60.0 PLUS Lavadora de alta pressão a bateria,1,270,Não acompanha bateria ou carregador,130,100,AK 30 / 30S,EC,25,,1,10,0,84243010,795711369415
REA 100 PLUS,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Vazão Máxima [l/h],Kit,Pressão máxima [bar],Pressão de trabalho [bar],Bateria recomendada,Tipo de motor,Autonomia da bateria [min],,S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,RA01-011-7615,2399,REA 100.0 PLUS Lavadora de alta pressão,1,300,Não acompanha bateria ou carregador,150,125,AP 300 S,EC,45,,1,10,0,84243010,795711369477
RCA 2.0,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Vazão Máxima [l/h],Tensão nominal,Pressão máxima [bar],Pressão de trabalho [bar],Bateria recomendada,Tipo de motor,Autonomia da bateria [min],,S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,RA02-011-7605,1249,RCA 20.0 Lavadora de pressão a bateria,1,230 (sem bico de pressão),-,22,24,AS 2,DC,-,,1,10,0,84243010,886661045754
,,,RA02-011-7617,1699,RCA 20.0 SET Lavadora de pressão a bateria,1,,110 V,,,,,15-30,,1,10,0,84243010,886661045877
,,,RA02-011-7618,1699,RCA 20.0 SET Lavadora de pressão a bateria,1,,220 V ,,,,,,,1,10,0,84243010,886661045884
ACESSÓRIO RCA,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Descrição,,,,,,,,S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,RA02-500-5900,319.04,Escova rotativa,1,RCA 2.0,,,,,,,,1,10,3.25,84249090,886661427147
ASA 20,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Peso com/sem bateria [kg],Abertura máximo para corte de galhos [mm],Tipo de motor,Tensão da bateria [v],Autonomia da bateria [min],,S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,VA05-011-6200,1619,ASA 20.0 Tesoura de poda a bateria,1,AS,Não acompanha bateria ou carregador,"0,76 / 0,98",25,DC,10.8,240,,1,0,5.2,84672910,886661292127
PS 1.0,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Voltagem da bateria [V],Kit,Corrente máxima de carregamento da bateria AS [A],,Peso sem/com bateria KG,USB-C,USB-A,Bateria,S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,GA08-011-8000,329,PS 1.0 abastecimento de energia portátil,1,10.8,Não acompanha bateria ou carregador,2.5,,"0,15/0,35",Corrênte máxima [A] 3 Potência máxima [W] 30,Corrênte máxima [A] 3 Potência máxima [W] 22,AS,1,10,5,85044010,886661806836
Tampas e baterias para exposição,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Modelos,,,,,,Comentários,,S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,4850-602-0900,26.2,Tampa do compartimento da bateria AP,1,Todas as máquinas da linha a bateria Lithium Ion PRO,,,,,,,,1,0,5,39235000,795711843373
,,,4520-602-0900,30.44,Tampa do compartimento da bateria AK,1,Todas as máquinas da linha a bateria Lithium Ion COMPACT,,,,,,,,1,0,5,39235000,886661552771
Linha AS,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Tensão nominal [V],,Comentário,,,,,"Peso 
[kg]",S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,EA02-400-6500,189,AS 2 Bateria,1,-,,,,,,,0.3,1,0,11.25,85076000,886661915415
,,,EA03-430-2509,189,"AL 1, 100 - 127 V Carregador",1,110 V,,,,,,,0.7,1,10,5,85044010,886661933914
,,,EA03-430-2508,189,"AL 1, 220 - 240 V Carregador",1,220 V,,,,,,,0.7,1,10,5,85044010,886661870417
Linha AS 2,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Tensão nominal [V],,Comentário,,,,,"Peso 
[kg]",S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,EA03-430-5708,449,"AL 5, 220 V Carregador rápido de bateria",1,220 V,,100% da recarga da bateria AS 2 em 50 minutos,,,,,0.624,1,10,5,85044010,795711882471
,,,EA03-430-5709,449,"AL 5, 127 V Carregador rápido de bateria",1,110 V,,,,,,,0.63,1,10,5,85044010,796000000000
,,,EA11-430-5708,1229,"AL 5-2, 220 V Carregador rápido de bateria",1,220 V,,,,,,,0.984,1,10,5,85044010,795711882976
,,,EA11-430-5709,1229,"AL 5-2, 127 V Carregador rápido de bateria",1,110 V,,,,,,,0.984,1,10,5,85044010,795711882990
Bateria AK 10 / AK 20 / AK 30,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Capacidade Bateria (Ah),,Energia [Wh],Modelos de Máquinas,,,,,S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,4520-400-6530,519,AK 10 Bateria,1,1.6,,54,Linha a bateria AK SYSTEM,,,,,1,0,11.25,85076000,886661575527
,,,4520-400-6535,799,AK 20 Bateria,1,4,,144,,,,,,1,0,11.25,85076000,886661575565
,,,4520-400-6545,1189,AK 30.0 S Bateria,1,5,,180,,,,,,1,0,11.25,85076000,886661575640
Carregador AL 101,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Tensão carregador,,Comentário,,,,,,S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,4850-430-2529,279,"AL 101, 127 V Carregador",1,127V,,Pode ser utilizado com as bateria da linha AK e AP SYSTEM,,,,,,1,10,5,85044010,886661257805
,,,4850-430-2528,279,"AL 101, 220 V Carregador",1,220V,,,,,,,,1,10,5,85044010,886661257782
Bateria AP 200 / AP 300 S / AP 500 S,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Capacidade Bateria (Ah),,Energia [Wh],Modelos de Máquinas,,,,,S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,4850-400-6568,2419,AP 200.0 S Bateria,1,5.2,,187,Linha a bateria AP SYSTEM,,,,,1,0,11.25,85076000,886661561254
,,,4850-400-6578,2729,AP 300.0 S Bateria,1,7.8,,281,,,,,,1,0,11.25,85076000,886661025794
,,,EA01-400-6503,4429,AP 500 S Bateria,1,9.4,,337,,,,,,1,0,11.25,85076000,886661870035
Acessórios para bateria AP,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Modelo,,,,,,,,S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,4850-440-5101,1159.19,Bolsa de Cintura AP com cabo elétrico,1,Acessórios para bateria AP,,,,,,,,1,10,5,85444200,886661512232
,,,4850-491-0101,198.9,Bolsa bateria AP,1,,,,,,,,,1,0,6.5,42029200,795711854119
,,,4850-440-0505,417.21,Adaptador AP,1,,,,,,,,,1,0,9.75,85366990,886661570508
,,,4850-490-0500,367.4,Cinto para baterias com cinto de suporte,1,,,,,,,,,1,0,0,63079090,886661635689
,,,4850-490-0400,654.36,Sistema de suporte,1,,,,,,,,,1,0,0,63079090,886661405282
Carregador AL 301,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Tensão carregador,,Comentário,,,,,,S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,EA09-430-5509,669,"AL 301, 127 V Carregador rápido de bateria",1,127V,,Pode ser utilizado com as bateria da linha AK e AP SYSTEM,,,,,,1,10,5,85044010,886661614448
,,,EA09-430-5508,669,"AL 301, 220 V Carregador rápido de bateria",1,220V,,,,,,,,1,10,5,85044010,886661614363
Carregador AL 500/501,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Tensão carregador,,Modelos de Máquinas,,,,,"Peso 
[kg]",S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,4850-430-5709,1249,"AL 500, 127 V Carregador rápido de bateria",1,127V,,Toda linha de produtos a bateria,,,,,1.8,1,10,5,85044010,886661478200
,,,EA09-430-5708,1249,"AL 501, 220 V Carregador rápido de bateria",1,220V,,Toda linha de produtos a bateria,,,,,1.8,1,10,5,85044010,795711997991
Carregador LK 45,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Tensão carregador,,Modelo,,Período Carga (min) Carreganmento até 80% / 100%,,,,S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,4511-400-5607,120.08,Cabo de carga LK 45 BR,1,Bivolt,,HSA45/FSA45/BGA45,,"FSA 45 - 145 / 210
HSA 45 - 145 / 210
BGA 45 - 210 / 300",,,,1,10,5,85044010,886661456932
Acessórios HSA 25,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Tensão carregador,,Modelo,,,Período Carga (min) Carreganmento até 100%,,,S,T,IPI,NCM-Classif. Fiscal,Cod. Barras
,,,4515-400-6500,244.49,Bateria HSA 25,1,-,,Compatível apenas com HSA 25,,,180,,,1,0,11.25,85076000,886661183852
,,,4515-430-2508,235.46,Carregador HSA 25,1,bivolt,,,,,,,,1,10,5,85044010,886661366965
